"Electricity statistics by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics
"Algeria","Total renewable","Electricity Generation (GWh)","All","2000",54.00
"Algeria","Total renewable","Electricity Generation (GWh)","All","2001",69.00
"Algeria","Total renewable","Electricity Generation (GWh)","All","2002",57.40
"Algeria","Total renewable","Electricity Generation (GWh)","All","2003",265.20
"Algeria","Total renewable","Electricity Generation (GWh)","All","2004",251.10
"Algeria","Total renewable","Electricity Generation (GWh)","All","2005",555.26
"Algeria","Total renewable","Electricity Generation (GWh)","All","2006",217.57
"Algeria","Total renewable","Electricity Generation (GWh)","All","2007",226.08
"Algeria","Total renewable","Electricity Generation (GWh)","All","2008",282.71
"Algeria","Total renewable","Electricity Generation (GWh)","All","2009",342.00
"Algeria","Total renewable","Electricity Generation (GWh)","All","2010",172.88
"Algeria","Total renewable","Electricity Generation (GWh)","All","2011",481.34
"Algeria","Total renewable","Electricity Generation (GWh)","All","2012",582.63
"Algeria","Total renewable","Electricity Generation (GWh)","All","2013",291.02
"Algeria","Total renewable","Electricity Generation (GWh)","All","2014",393.33
"Algeria","Total renewable","Electricity Generation (GWh)","All","2015",361.51
"Algeria","Total renewable","Electricity Generation (GWh)","All","2016",465.50
"Algeria","Total renewable","Electricity Generation (GWh)","All","2017",503.40
"Algeria","Total renewable","Electricity Generation (GWh)","All","2018",816.66
"Algeria","Total renewable","Electricity Generation (GWh)","All","2019",875.05
"Algeria","Total renewable","Electricity Generation (GWh)","All","2020",875.71
"Algeria","Total renewable","Electricity Generation (GWh)","All","2021",815.11
"Algeria","Total renewable","Electricity Generation (GWh)","All","2022",868.51
"Algeria","Total renewable","Electricity Generation (GWh)","All","2023",926.11
"Algeria","Total renewable","Electricity Generation (GWh)","All","2024",-
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2000",54.00
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2001",69.00
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2002",57.40
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2003",265.20
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2004",251.10
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2005",555.26
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2006",217.57
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2007",226.08
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2008",282.71
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2009",342.00
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2010",172.88
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2011",481.34
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2012",582.63
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2013",291.02
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2014",390.33
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2015",307.27
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2016",411.10
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2017",449.00
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2018",771.66
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2019",830.05
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2020",832.71
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2021",769.11
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2022",783.51
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2023",827.54
"Algeria","Total renewable","Electricity Generation (GWh)","On-grid","2024",-
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2000",-
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2001",-
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2002",-
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2003",-
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2004",-
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2005",-
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2006",-
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2007",-
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2008",-
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2009",-
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2010",-
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2011",-
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2012",-
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2013",-
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2014",3.00
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2015",54.24
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2016",54.40
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2017",54.40
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2018",45.00
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2019",45.00
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2020",43.00
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2021",46.00
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2022",85.00
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2023",98.57
"Algeria","Total renewable","Electricity Generation (GWh)","Off-grid","2024",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2000",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2001",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2002",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2003",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2004",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2005",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2006",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2007",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2008",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2009",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2010",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2011",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2012",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2013",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2014",2.90
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2015",48.75
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2016",239.70
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2017",241.89
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2018",556.55
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2019",579.93
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2020",700.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2021",677.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2022",718.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2023",771.17
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","All","2024",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2000",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2001",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2002",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2003",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2004",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2005",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2006",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2007",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2008",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2009",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2010",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2011",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2012",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2013",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2014",0.90
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2015",13.75
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2016",204.70
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2017",206.89
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2018",521.55
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2019",544.93
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2020",665.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2021",642.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2022",649.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2023",686.17
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2024",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2000",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2001",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2002",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2003",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2004",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2005",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2006",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2007",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2008",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2009",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2010",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2011",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2012",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2013",-
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2014",2.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2015",35.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2016",35.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2017",35.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2018",35.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2019",35.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2020",35.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2021",35.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2022",69.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2023",85.00
"Algeria","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2024",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2000",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2001",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2002",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2003",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2004",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2005",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2006",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2007",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2008",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2009",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2010",0.10
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2011",103.12
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2012",193.23
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2013",192.54
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2014",196.83
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2015",148.21
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2016",134.40
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2017",186.11
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2018",133.11
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2019",133.11
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2020",118.11
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2021",118.11
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2022",118.11
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2023",118.11
"Algeria","Solar thermal energy","Electricity Generation (GWh)","All","2024",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2000",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2001",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2002",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2003",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2004",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2005",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2006",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2007",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2008",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2009",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2010",0.10
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2011",103.12
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2012",193.23
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2013",192.54
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2014",196.83
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2015",148.21
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2016",134.40
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2017",186.11
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2018",133.11
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2019",133.11
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2020",118.11
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2021",118.11
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2022",118.11
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2023",118.11
"Algeria","Solar thermal energy","Electricity Generation (GWh)","On-grid","2024",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2000",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2001",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2002",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2003",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2004",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2005",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2006",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2007",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2008",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2009",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2010",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2011",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2012",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2013",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2014",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2015",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2016",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2017",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2018",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2019",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2020",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2021",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2022",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2023",-
"Algeria","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2024",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2000",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2001",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2002",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2003",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2004",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2005",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2006",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2007",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2008",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2009",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2010",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2011",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2012",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2013",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2014",1.00
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2015",19.24
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2016",19.40
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2017",19.40
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2018",10.00
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2019",10.00
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2020",8.00
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2021",11.00
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2022",16.00
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2023",13.57
"Algeria","Onshore wind energy","Electricity Generation (GWh)","All","2024",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2000",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2001",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2002",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2003",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2004",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2005",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2006",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2007",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2008",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2009",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2010",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2011",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2012",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2013",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2014",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2015",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2016",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2017",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2018",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2019",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2020",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2021",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2022",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2023",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2024",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2000",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2001",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2002",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2003",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2004",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2005",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2006",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2007",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2008",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2009",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2010",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2011",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2012",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2013",-
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2014",1.00
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2015",19.24
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2016",19.40
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2017",19.40
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2018",10.00
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2019",10.00
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2020",8.00
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2021",11.00
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2022",16.00
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2023",13.57
"Algeria","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2024",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2000",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2001",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2002",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2003",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2004",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2005",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2006",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2007",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2008",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2009",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2010",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2011",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2012",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2013",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2014",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2015",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2016",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2017",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2018",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2019",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2020",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2021",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2022",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2023",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","All","2024",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2000",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2001",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2002",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2003",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2004",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2005",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2006",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2007",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2008",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2009",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2010",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2011",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2012",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2013",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2014",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2015",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2016",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2017",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2018",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2019",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2020",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2021",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2022",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2023",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2024",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2000",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2001",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2002",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2003",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2004",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2005",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2006",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2007",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2008",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2009",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2010",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2011",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2012",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2013",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2014",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2015",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2016",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2017",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2018",-
"Algeria","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2019",-
